Athlete,overall_rank,overall_score,X14_1_rank,X14_1_score,X14_2_rank,X14_2_score,X14_3_rank,X14_3_score,X14_4_rank,X14_4_score,X14_5_rank,X14_5_score,region,gender
Cillie Malan,28,242,50,318,34,170,26,143,96,185,36,13:00,africa,m
Grant Bydawell,30,247,24,345,37,163,7,151,15,196,164,15:35,africa,m
Antony Swanepoel,30,247,53,316,75,135,49,140,39,189,31,12:49,africa,m
Gregory Dalton,32,271,46,324,68,137,104,134,31,190,22,12:42,africa,m
Brandon Graham,33,284,69,310,55,139,92,135,30,190,38,13:05,africa,m
Pierre Oelofsen,34,289,69,310,49,140,79,137,11,198,81,14:04,africa,m
Nico van der Walt,35,292,39,332,68,137,27,143,77,186,81,14:04,africa,m
Grant Moseby,36,306,128,301,43,142,39,141,22,193,74,13:54,africa,m
Frik OCallaghan,37,310,42,328,85,134,129,132,36,189,18,12:32,africa,m
Brendon Bantjes,38,313,7,359,104,131,8,149,60,187,134,15:04,africa,m
Hannes du Toit,38,313,86,308,28,180,51,140,133,183,15,12:20,africa,m
Quinton Z Van Rooyen,40,323,128,301,62,138,24,144,66,187,43,13:09,africa,m
Haitham Mahgoub,41,324,44,327,72,136,30,143,128,184,50,13:23,africa,m
Matthew Smith,42,343,128,301,85,134,25,143,42,189,63,13:37,africa,m
Jacques Du Toit,43,352,23,346,128,128,37,142,94,185,70,13:45,africa,m
Pierre Ferreira,43,352,78,309,36,167,43,141,89,186,106,14:27,africa,m
Tyron Hatch,45,358,42,328,49,140,141,131,65,187,61,13:36,africa,m
Muhammad Al Deeb,46,360,36,337,40,143,100,134,75,186,109,14:35,africa,m
Adham Salloum,47,363,62,312,46,141,127,132,64,187,64,13:38,africa,m
Mark Lubbe,48,370,40,331,30,176,83,137,55,188,162,15:32,africa,m
Frederik Engelbrecht,49,380,312,261,5,206,29,143,12,198,22,12:42,africa,m
Ben Schempers,50,383,168,289,29,178,41,141,79,186,66,13:40,africa,m
Nicholas Bordalo,51,397,20,347,49,140,223,130,98,185,7,11:25,africa,m
JP Knipe,52,407,37,333,121,129,5,152,158,182,86,14:09,africa,m
Chris Seymour,53,421,163,290,72,136,52,140,59,187,75,13:57,africa,m
Jannus Du Preez,54,423,53,316,85,134,45,140,107,185,133,15:02,africa,m
Julian Reichman,55,440,99,306,8,200,307,121,17,195,9,11:31,africa,m
Paul Hofman,56,442,92,307,39,146,223,130,62,187,26,12:46,africa,m
werner olivier,56,442,106,305,94,133,118,134,53,188,71,13:48,africa,m
Ludwig Viljoen,58,448,212,270,34,170,59,139,68,187,75,13:57,africa,m
Felix Malan,59,449,180,284,40,143,86,137,84,186,59,13:34,africa,m
Mourad Gaber,60,460,16,348,111,130,185,130,110,184,38,13:05,africa,m
Tanner Shuck,1,22,4,390,1,269,2,167,4,231,11,10:26,asia,m
Mikko Aronpää,2,25,6,376,5,266,7,152,6,218,1,09:37,asia,m
Eric Carmody,3,28,16,357,6,262,3,165,1,240,2,09:52,asia,m
Ben Thompson,4,30,3,391,10,253,1,175,2,233,14,10:38,asia,m
Michael Mogard,5,51,1,396,1,269,38,143,3,232,8,10:18,asia,m
YooSik Kim,6,121,36,350,10,253,33,144,22,197,20,10:59,asia,m
Phil Hesketh,7,124,27,352,25,200,29,145,5,221,38,11:34,asia,m
Ant Haynes,8,132,19,355,54,192,34,144,8,208,17,10:48,asia,m
Eric Sweet,9,133,88,328,4,268,20,146,12,200,9,10:21,asia,m
Subok Lee,10,136,12,360,27,199,48,141,30,196,19,10:58,asia,m
Albert Holguin,11,148,67,344,22,202,16,147,40,195,3,09:55,asia,m
Israel Shamli,12,150,10,363,20,205,22,146,43,195,55,11:56,asia,m
Henrik Olofsson,13,170,59,345,45,193,12,149,28,196,26,11:07,asia,m
Marcus Smith,14,198,23,354,110,178,4,162,38,195,23,11:01,asia,m
Cho dae hee,15,206,5,377,8,256,98,136,85,191,10,10:23,asia,m
baek min jong,16,212,36,350,79,186,10,150,59,193,28,11:13,asia,m
Austin Hiracheta,17,213,14,358,1,269,71,139,75,192,52,11:52,asia,m
Jono Whitehead,18,232,71,341,54,192,59,140,18,198,30,11:22,asia,m
Jordan Reiley,19,236,27,352,29,198,54,141,81,192,45,11:45,asia,m
Taylor Rank,20,241,13,359,13,244,120,136,16,199,79,12:15,asia,m
Joseph Mozzi,21,251,34,351,45,193,14,148,67,192,91,12:26,asia,m
Utku Tuncer,22,255,27,352,38,196,69,139,25,197,96,12:37,asia,m
Young-Jun Kim,23,257,41,349,16,207,145,134,49,194,6,10:17,asia,m
PARK Hyoung-Jae,24,261,19,355,61,191,72,139,58,193,51,11:51,asia,m
AbdulRahman Bin Ghobash,25,266,41,349,118,176,51,141,29,196,27,11:10,asia,m
Marwan Al-Marri,26,273,9,364,54,192,159,134,27,197,24,11:04,asia,m
Young Hoon Choi,26,273,117,315,54,192,52,141,10,202,40,11:39,asia,m
Yeojoon choi,28,280,19,355,29,198,153,134,42,195,37,11:32,asia,m
Ed Haynes,29,283,78,334,88,185,81,138,15,199,21,11:00,asia,m
ates boran,30,290,59,345,12,247,128,135,9,204,82,12:19,asia,m
Ron Harvey,31,305,98,324,32,197,15,148,89,191,71,12:10,asia,m
Timmy Jacobsson,32,313,225,306,32,197,9,150,32,196,15,10:42,asia,m
Rashed Almulla,33,319,17,356,133,173,65,139,52,194,52,11:52,asia,m
Gwan Yoon,34,321,10,363,69,190,77,138,159,187,6,10:17,asia,m
Youngmin Kang,35,328,23,354,9,254,82,138,211,185,3,09:55,asia,m
sungwook yoo,36,330,48,347,18,206,200,132,24,197,40,11:39,asia,m
Ryan Bayliss,37,332,6,376,168,141,28,145,57,193,73,12:11,asia,m
cho jae chul,38,336,72,340,42,194,102,136,45,195,75,12:13,asia,m
Henrik Gjeruldsen,39,337,59,345,110,178,24,146,131,188,13,10:35,asia,m
Ram Dover,40,339,19,355,32,197,88,138,48,194,152,13:20,asia,m
Luke Holmes,41,355,53,346,14,236,256,130,14,200,18,10:57,asia,m
Shingo Moromasa,42,357,110,318,91,184,70,139,12,200,74,12:12,asia,m
John Britton,43,366,27,352,88,185,35,143,21,197,195,13:47,asia,m
Yong Jun Lee,44,368,59,345,32,197,132,135,36,195,109,12:46,asia,m
Neil Seip,45,389,110,318,18,206,92,137,105,190,64,12:02,asia,m
zohar lipkin,45,389,194,308,45,193,39,143,50,194,61,11:59,asia,m
Ivan Marjanovic,47,392,136,314,158,142,41,142,11,200,46,11:47,asia,m
Clay Braden,48,394,88,328,25,200,150,134,17,199,114,12:49,asia,m
Sul Min Choi,49,396,48,347,22,202,222,131,72,192,32,11:26,asia,m
Joon Hwan Heo,50,399,53,346,22,202,196,132,79,192,49,11:48,asia,m
Jason Duckett,51,403,178,309,45,193,80,138,33,196,67,12:08,asia,m
William Sullivan,52,410,8,370,136,172,100,136,76,192,90,12:24,asia,m
Sumin Kim,52,410,93,327,38,196,83,138,86,191,110,12:48,asia,m
Saud Alshamsi,52,410,103,321,114,177,47,141,76,192,70,12:09,asia,m
Charlie Orantes,55,415,194,308,70,188,57,140,61,193,33,11:28,asia,m
David ben David,56,428,145,312,38,196,110,136,93,191,42,11:44,asia,m
BEN DAVIES,57,433,23,354,271,132,21,146,41,195,77,12:14,asia,m
moshiko grif,58,477,158,311,32,197,64,139,78,192,145,13:14,asia,m
Naoya Arasaki,59,485,178,309,45,193,147,134,23,197,92,12:31,asia,m
Myung Sik kwak,59,485,84,329,118,176,84,138,97,191,102,12:41,asia,m
Rob Forte,1,17,2,424,6,277,4,168,1,263,4,09:01,australia,m
Ben Garard,2,44,13,398,9,274,15,156,6,246,1,08:49,australia,m
Matt Reilly,3,79,8,401,13,272,28,154,2,253,28,10:01,australia,m
Brandon Swan,4,82,31,391,13,272,20,155,12,240,6,09:09,australia,m
Keegan Wolfenden,5,90,8,401,26,266,12,157,19,235,25,09:59,australia,m
Zach Morton-Adair,6,100,22,394,16,271,27,154,14,239,21,09:54,australia,m
Rory Boyden,7,118,5,410,78,239,21,155,4,249,10,09:33,australia,m
James Newbury,8,134,35,390,4,319,53,150,10,244,32,10:09,australia,m
Khan Porter,9,137,4,414,11,273,61,150,43,225,18,09:53,australia,m
Michael Mikaere,10,154,2,424,34,262,16,156,17,237,85,10:58,australia,m
Scott Hutchison,11,155,6,408,3,322,38,152,37,226,71,10:50,australia,m
Kyle Frankenfeld,12,172,7,402,22,269,135,146,3,252,5,09:02,australia,m
Aaron James,13,177,85,360,31,263,8,162,15,239,38,10:22,australia,m
Luke Starr,14,178,85,360,24,268,2,169,53,220,14,09:42,australia,m
Chad Mackay,14,178,10,400,38,261,41,152,24,231,65,10:46,australia,m
Patrick Fitzsimons,16,183,50,381,1,325,59,150,47,222,26,10:00,australia,m
Dean Linder-Leighton,17,206,1,437,27,265,170,144,5,248,3,08:55,australia,m
Cj Walker,18,215,16,396,22,269,153,145,13,240,11,09:36,australia,m
Drummond Williamson,19,236,31,391,11,273,160,145,27,229,7,09:15,australia,m
Michael Roach,20,238,28,392,39,260,82,148,18,236,71,10:50,australia,m
Alex Ranieri,21,243,51,380,90,206,11,158,36,227,55,10:39,australia,m
Scott Mackenzie,22,249,15,397,49,254,71,149,23,231,91,11:03,australia,m
Brendan Clarke,23,260,16,396,54,251,111,147,29,229,50,10:34,australia,m
Benjamin Connor,24,261,25,393,24,268,60,150,38,226,114,11:18,australia,m
Hayden LaVanda,25,267,85,360,5,312,138,145,11,242,28,10:01,australia,m
Matt Bice,25,267,35,390,45,256,5,167,31,228,151,11:33,australia,m
James Connew,27,280,35,390,1,325,173,144,41,225,30,10:04,australia,m
Luke McMahon,28,285,25,393,8,276,208,143,26,229,18,09:53,australia,m
Kevin Manuel,29,287,85,360,31,263,40,152,16,238,115,11:19,australia,m
Matthew Forwood,30,293,48,383,66,244,86,148,46,224,47,10:33,australia,m
Michael Gillum,31,310,22,394,145,200,24,155,50,222,69,10:48,australia,m
William Laister,32,329,80,364,75,240,142,145,20,234,12,09:41,australia,m
Will Edgar,33,332,13,398,134,201,34,153,106,200,45,10:31,australia,m
Chris Hogan,34,337,31,391,27,265,157,145,42,225,80,10:54,australia,m
Daniel Lewis,35,340,82,361,121,202,35,153,59,218,43,10:26,australia,m
Wade Barrett,36,345,16,396,27,265,204,143,63,217,35,10:16,australia,m
John Templeton,37,350,82,361,90,206,44,151,34,227,100,11:08,australia,m
Jason Haywood,38,354,73,367,75,240,17,156,146,198,43,10:26,australia,m
Chris Medcraft,39,359,19,395,49,254,183,144,71,213,37,10:21,australia,m
Mitchell Sinnamon,40,365,125,357,17,270,25,155,148,198,50,10:34,australia,m
Kieran Hogan,41,367,181,352,17,270,100,147,45,224,24,09:57,australia,m
Joshua Santhou,42,371,64,373,79,238,58,150,62,217,108,11:13,australia,m
Cielo marchesi,43,392,56,377,81,235,70,149,130,199,55,10:39,australia,m
Glen Laws,44,393,58,375,112,203,162,145,25,229,36,10:18,australia,m
Ben Wadwell,45,394,61,374,39,260,72,149,90,206,132,11:27,australia,m
Doug Armstrong,46,400,43,388,54,251,54,150,126,199,123,11:22,australia,m
Callum Gifford,47,412,152,354,105,204,26,154,58,218,71,10:50,australia,m
Sam Joraslafsky,48,413,31,391,145,200,3,169,40,226,194,11:47,australia,m
Paul Walton,49,417,46,384,112,203,49,150,127,199,83,10:57,australia,m
Zeke Grove,50,433,85,360,47,255,272,141,8,245,21,09:54,australia,m
Alex Thackray,51,462,61,374,90,206,190,144,82,208,39,10:23,australia,m
Nick Fuentes,52,463,61,374,60,248,206,143,102,202,34,10:12,australia,m
Luke Pickerd,53,467,107,359,27,265,234,142,30,228,69,10:48,australia,m
Luke McGruer,54,470,181,352,34,262,187,144,28,229,40,10:24,australia,m
Ryan Woodall,55,485,114,358,69,242,92,148,144,199,66,10:47,australia,m
Nathan Beves,56,493,19,395,196,195,14,156,33,227,231,11:59,australia,m
Kosta Ilic,57,495,107,359,145,200,51,150,96,203,96,11:06,australia,m
Michael Howson,58,502,10,400,134,201,10,158,294,194,54,10:36,australia,m
Jerrome McKittrick,59,509,77,365,47,255,283,141,86,207,16,09:48,australia,m
Jarrod Bowe,60,524,35,390,97,205,172,144,72,212,148,11:32,australia,m
Alex Vigneault,1,64,23,379,27,255,1,175,9,222,4,09:32,canadaeast,m
Albert-Dominic Larouche,2,65,2,400,35,246,2,175,1,249,25,10:28,canadaeast,m
Simon Paquette,3,101,4,398,2,279,27,152,58,199,10,10:07,canadaeast,m
Brandon Crump,4,103,4,398,13,263,9,156,28,209,49,10:53,canadaeast,m
Peter D'Amore,5,111,9,393,15,262,56,149,12,218,19,10:19,canadaeast,m
Andrick Fournier,6,118,37,361,19,260,13,155,11,219,38,10:49,canadaeast,m
Wes Ng,7,127,17,389,56,204,6,158,24,212,24,10:26,canadaeast,m
Chad Furey,8,132,18,388,11,265,25,153,15,218,63,11:01,canadaeast,m
Maxime Roy de sylva,9,143,84,355,1,322,29,152,26,211,3,09:24,canadaeast,m
Pascal Baillargeon,10,152,55,358,6,271,64,148,16,217,11,10:08,canadaeast,m
Matthew Lefave,11,163,24,378,32,249,4,159,45,200,58,10:59,canadaeast,m
Kyle Cant,12,170,11,392,30,253,102,145,8,222,19,10:19,canadaeast,m
Charles Felx Leduc,13,177,40,360,10,266,108,145,5,224,14,10:14,canadaeast,m
Dominic Adam,14,183,11,392,48,207,19,154,72,198,33,10:41,canadaeast,m
Joe Johnson,14,183,34,363,13,263,63,148,50,200,23,10:22,canadaeast,m
Adrian Lui,16,197,40,360,9,267,31,152,76,198,41,10:50,canadaeast,m
Francois Tremblay,17,235,21,380,7,270,154,143,47,200,6,09:53,canadaeast,m
Tommy Snarr,18,250,75,356,47,227,49,149,57,199,22,10:20,canadaeast,m
james thelemaque,19,252,9,393,33,247,17,155,46,200,147,11:49,canadaeast,m
Paul Tremblay,20,253,84,355,4,273,154,143,6,223,5,09:36,canadaeast,m
Nicolas Leblanc,21,258,11,392,24,257,218,141,4,228,1,09:13,canadaeast,m
Bruno Thimineur,22,260,34,363,60,203,12,155,141,195,13,10:10,canadaeast,m
Camill Leduc,23,272,93,354,42,241,93,146,14,218,30,10:38,canadaeast,m
Mizar Fuentes-Ortega,24,287,63,357,15,262,118,145,50,200,41,10:50,canadaeast,m
Chris Cristini,25,301,11,392,67,202,112,145,70,198,41,10:50,canadaeast,m
Jean-Michel Riendeau,26,310,101,353,21,259,74,147,25,212,89,11:17,canadaeast,m
Chad Hall,27,311,55,358,94,198,48,149,2,248,112,11:25,canadaeast,m
Olivier Donais,28,322,2,400,117,195,46,149,110,196,47,10:51,canadaeast,m
Reza Mashkoori,28,322,93,354,24,257,117,145,47,200,41,10:50,canadaeast,m
Maguid Nicholas,30,337,55,358,132,193,15,155,88,197,47,10:51,canadaeast,m
Karim El Hlimi,31,341,137,350,38,244,14,155,33,206,119,11:29,canadaeast,m
Yves Tourville,32,354,63,357,67,202,39,150,23,212,162,11:55,canadaeast,m
Steve Briscoe,33,355,34,363,219,181,34,151,19,215,49,10:53,canadaeast,m
Michael Senecal,34,356,24,378,26,256,186,142,12,218,108,11:24,canadaeast,m
Cedrik Bernier,35,363,75,356,33,247,115,145,7,223,133,11:39,canadaeast,m
Jonathan Laniel,36,381,75,356,60,203,160,143,10,219,76,11:11,canadaeast,m
Alexandre Beaulieu,37,384,120,351,51,206,83,147,60,199,70,11:04,canadaeast,m
Mike LeBlanc,38,392,7,396,48,207,95,146,117,196,125,11:32,canadaeast,m
Matthieu Dubreucq,39,395,164,348,15,262,81,147,27,211,108,11:24,canadaeast,m
Pierre-Paul Seguin,40,396,164,348,21,259,109,145,3,234,99,11:20,canadaeast,m
Alexandre Caron,41,405,40,360,84,200,110,145,71,198,100,11:21,canadaeast,m
Calan Aldred,42,416,55,358,103,197,56,149,125,196,77,11:12,canadaeast,m
Olek Kubicki,43,420,37,361,67,202,91,146,54,200,171,11:59,canadaeast,m
daniel latour,43,420,75,356,60,203,73,147,98,197,114,11:27,canadaeast,m
Kyle Charbonneau,45,425,32,365,38,244,76,147,82,198,197,12:12,canadaeast,m
Jonathan Gauvreau,46,440,19,384,141,192,8,156,260,191,12,10:09,canadaeast,m
Jay Rhodes,47,447,4,398,77,201,204,142,31,208,131,11:36,canadaeast,m
Patrick Vellner,48,448,120,351,215,182,41,150,54,200,18,10:18,canadaeast,m
Maxime Dufault,49,450,63,357,169,189,30,152,74,198,114,11:27,canadaeast,m
Jeff Larsh,50,456,7,396,132,193,119,145,135,195,63,11:01,canadaeast,m
Manuel Forcier,51,459,19,384,160,190,20,154,182,193,78,11:13,canadaeast,m
Phil Cress,52,464,40,360,94,198,59,149,191,193,80,11:14,canadaeast,m
Taras Kit,53,471,55,358,132,193,65,148,193,193,26,10:30,canadaeast,m
Jonathan Caron,54,482,175,347,126,194,26,153,77,198,78,11:13,canadaeast,m
Daniel Viger,55,500,63,357,117,195,102,145,190,193,28,10:33,canadaeast,m
Christopher Kalec,56,502,110,352,60,203,167,143,93,197,72,11:07,canadaeast,m
Rick Wilson,57,513,31,366,117,195,271,140,36,203,58,10:59,canadaeast,m
Yves-Ã‰ric Pilote,58,514,40,360,11,265,317,138,111,196,35,10:42,canadaeast,m
Ryan Poroznik,59,524,21,380,294,173,41,150,113,196,55,10:58,canadaeast,m
Michael Varalli,60,528,164,348,77,201,77,147,66,199,144,11:48,canadaeast,m
Jonathan Gibson,1,14,4,402,5,267,2,175,2,252,1,09:38,canadawest,m
Brent Fikowski,2,26,1,443,1,333,20,151,1,260,3,09:59,canadawest,m
Joe Scali,3,29,5,397,12,255,3,166,4,225,5,10:11,canadawest,m
Robbie Perovich,4,52,2,409,14,245,13,153,9,214,14,10:44,canadawest,m
Dylan Weller,5,53,24,360,13,246,1,175,6,221,9,10:30,canadawest,m
Kurt Baker,5,53,6,396,18,239,16,152,3,248,10,10:35,canadawest,m
Nate Beveridge,7,84,15,375,16,243,9,155,16,201,28,11:04,canadawest,m
Lucas Parker,8,87,54,353,6,266,4,160,15,201,8,10:25,canadawest,m
zach carlin,9,89,33,358,8,260,12,153,20,200,16,10:45,canadawest,m
Aaron Parker,10,102,12,390,48,196,10,154,14,205,18,10:48,canadawest,m
Jason Cain,11,108,24,360,7,262,17,152,48,197,12,10:41,canadawest,m
Mitch Barnard,12,121,3,406,22,204,24,150,70,194,2,09:44,canadawest,m
Ray Krumme,13,123,38,356,8,260,14,153,21,200,42,11:25,canadawest,m
Reilly McMorris,14,162,8,395,52,195,66,145,5,221,31,11:09,canadawest,m
John Gillis,15,165,10,393,3,278,88,143,60,195,4,10:07,canadawest,m
Terrence Limbert,16,168,43,355,11,257,58,146,21,200,35,11:13,canadawest,m
Steve Howell,17,171,16,370,25,201,7,156,24,199,99,12:23,canadawest,m
Curt Manning,18,202,10,393,28,200,47,147,81,193,36,11:14,canadawest,m
Andrew Askin,19,212,45,354,18,239,50,147,69,194,30,11:07,canadawest,m
Drew Armstrong,20,214,54,353,39,197,29,150,13,208,79,12:10,canadawest,m
Joey Lutz,21,227,126,341,10,258,11,154,51,197,29,11:05,canadawest,m
Tyson Takasaki,22,250,114,345,2,325,104,142,24,199,6,10:22,canadawest,m
Mark Cassibo,23,254,6,396,22,204,169,139,18,200,39,11:17,canadawest,m
Michael FitzGerald,24,264,8,395,111,181,37,148,8,216,100,12:24,canadawest,m
Eric Peterson,25,278,73,351,61,193,28,150,52,197,64,11:52,canadawest,m
Pete Kendrick,26,288,24,360,75,189,42,148,10,213,137,12:48,canadawest,m
David Bradford,27,296,32,359,35,198,23,151,53,196,153,13:02,canadawest,m
Justin Liwanag,28,298,73,351,31,199,103,142,72,194,19,10:49,canadawest,m
Lance Wilson,29,299,148,324,35,198,86,143,19,200,11,10:40,canadawest,m
Mike Fowler,30,305,33,358,139,174,46,147,37,198,50,11:39,canadawest,m
Scott Tasaka,31,307,45,354,25,201,131,141,28,199,78,12:09,canadawest,m
Connor Vale,32,311,58,352,20,207,177,139,39,198,17,10:47,canadawest,m
Paul Lance,33,314,84,350,97,184,19,152,63,195,51,11:40,canadawest,m
Travis Morgan,34,323,130,337,39,197,63,145,23,199,68,11:55,canadawest,m
DJ Wickham,35,337,54,353,48,196,26,150,45,197,164,13:08,canadawest,m
Rob Wright,35,337,45,354,128,176,76,144,26,199,62,11:51,canadawest,m
Casey Inglis,37,342,73,351,66,192,52,146,130,190,21,10:53,canadawest,m
Andrew Slater,38,343,58,352,39,197,134,141,41,197,71,11:58,canadawest,m
Caleb Woiwod,39,350,18,367,75,189,164,139,33,198,60,11:49,canadawest,m
Chris Vienneau,40,354,58,352,75,189,31,150,34,198,156,13:03,canadawest,m
Iain Maclean,41,356,166,319,48,196,87,143,32,198,23,10:59,canadawest,m
Brad Chase,42,364,101,346,75,189,8,156,46,197,134,12:47,canadawest,m
Jason Burke,43,372,13,383,61,193,35,148,54,196,209,13:29,canadawest,m
Zeke Cabell,43,372,38,356,138,175,64,145,95,192,37,11:15,canadawest,m
Alex Kaumeyer,45,376,24,360,105,182,92,143,111,191,44,11:31,canadawest,m
Jeremy Meredith,46,382,98,347,52,195,21,151,93,192,118,12:39,canadawest,m
Brad Burling,47,394,43,355,171,143,25,150,91,192,64,11:52,canadawest,m
Taylor Mason,48,395,73,351,105,182,101,142,92,192,24,11:00,canadawest,m
Thad Palin,49,397,45,354,71,191,93,143,17,200,171,13:14,canadawest,m
Glendon Hall,50,401,140,333,22,204,99,143,68,194,72,12:00,canadawest,m
Jason Biggeman,51,402,20,363,58,194,55,146,161,189,108,12:32,canadawest,m
Jason MacDonald,52,403,133,335,58,194,111,142,11,213,90,12:16,canadawest,m
Tyrell Mara,53,404,38,356,61,193,81,144,181,188,43,11:29,canadawest,m
Zack McMillan,54,412,84,350,52,195,237,136,12,211,27,11:03,canadawest,m
Aiden Poole,55,418,131,336,66,192,107,142,55,196,59,11:48,canadawest,m
Mike Eberts,56,419,73,351,111,181,152,140,76,194,7,10:24,canadawest,m
Jeremy Edwards,57,429,92,348,111,181,30,150,123,191,73,12:04,canadawest,m
David Mullback,58,434,73,351,149,172,18,152,88,193,106,12:29,canadawest,m
Brett Shillington,58,434,58,352,193,141,38,148,78,194,67,11:53,canadawest,m
Frederic Bernier,60,450,84,350,83,187,38,148,84,193,161,13:05,canadawest,m
Rich Froning,1,5,1,444,1,359,1,177,1,277,1,08:26,centraleast,m
Scott Panchik,2,19,3,435,2,347,8,162,3,250,3,08:56,centraleast,m
Graham Holmberg,3,57,4,422,6,320,5,166,11,236,31,10:20,centraleast,m
Alex Anderson,3,57,5,407,12,275,23,155,13,231,4,09:14,centraleast,m
Joseph Weigel,5,80,24,391,3,335,12,160,6,241,35,10:23,centraleast,m
Will Moorad,6,91,18,393,6,320,53,151,5,242,9,09:43,centraleast,m
Sam Dancer,7,106,2,439,27,266,3,171,33,217,41,10:30,centraleast,m
Chris Sansbury,7,106,19,392,32,262,2,175,41,214,12,09:51,centraleast,m
Tristan Moore,9,119,15,395,56,252,9,162,15,229,24,10:12,centraleast,m
Nick Fory,10,139,44,377,8,318,76,150,4,243,7,09:34,centraleast,m
Chris Shimley,11,165,11,397,10,277,89,149,49,211,6,09:23,centraleast,m
Torey Throop,12,166,16,394,41,258,62,151,9,238,38,10:26,centraleast,m
Nick Urankar,13,169,8,401,11,276,124,147,12,235,14,09:52,centraleast,m
Landon Walker,14,173,11,397,58,249,71,150,28,220,5,09:15,centraleast,m
Matt Hewett,15,191,57,369,23,268,87,149,7,240,17,10:00,centraleast,m
Dave Rabbett,15,191,78,360,41,258,32,154,19,224,21,10:08,centraleast,m
Gerald Sasser,17,198,52,370,4,334,95,149,2,260,45,10:43,centraleast,m
Marcus Hendren,17,198,101,358,37,259,7,162,17,227,36,10:25,centraleast,m
Derek French,19,208,69,363,15,273,55,151,50,210,19,10:06,centraleast,m
Cody Keathley,20,219,24,391,41,258,109,148,29,220,16,09:58,centraleast,m
Alex Bookout,21,243,63,365,58,249,72,150,16,228,34,10:22,centraleast,m
David Diamond,22,263,108,357,9,291,100,149,14,231,32,10:21,centraleast,m
Patrick O'Connell,23,270,26,390,23,268,182,145,10,237,29,10:19,centraleast,m
Josh Woodhull,24,287,6,405,95,238,4,169,54,209,128,11:34,centraleast,m
Jon Esposito,25,299,39,381,13,274,49,152,44,213,154,11:48,centraleast,m
Brandon Shriner,26,314,97,359,27,266,68,150,80,200,42,10:32,centraleast,m
Jared Cantrell,27,324,48,372,45,257,50,152,112,199,69,11:00,centraleast,m
Dane Youtz,28,325,26,390,80,241,147,146,20,224,52,10:50,centraleast,m
Kevin Jones,29,332,35,387,108,207,25,155,99,199,65,10:58,centraleast,m
Jared Byczko,30,340,52,370,77,242,99,149,26,221,86,11:11,centraleast,m
Ken Battiston,31,343,209,349,29,265,13,160,31,218,61,10:56,centraleast,m
Eric Oxley,32,347,32,389,37,259,132,147,26,221,120,11:31,centraleast,m
Brian Giovinazzi,33,353,38,382,64,246,65,151,97,199,89,11:12,centraleast,m
Harrison Heller,34,360,78,360,111,206,85,149,63,205,23,10:10,centraleast,m
Chris Walker,35,365,52,370,69,245,112,148,8,239,124,11:33,centraleast,m
Vincent Buttitta,36,370,36,386,32,262,176,145,119,198,7,09:34,centraleast,m
John Fortune,37,371,26,390,135,203,97,149,65,204,48,10:46,centraleast,m
Jesse Mascoe,38,376,39,381,161,200,24,155,73,203,79,11:06,centraleast,m
